comp_pers_id,cpr_person_id,pp_external_id,pp_wvb_person_id,pp_fullname,em_name,pp_display_name,em_display_name,cpr_role_type
16957650,a41627bf-fd6c-4475-9b35-90b78ed8b9ca,18392368,12402869,CHAN SENG FONG,CHAN SENG FONG,Chan Seng Fong,Fong Chan Seng,DIR
11022915,3d8fc87b-35c6-499e-8202-7d6909efcfae,14281422,3035782,KIM LAI TEO,KIM LAI TEO,Kim Lai Teo,Kim Lai Teo,DIR
11022914,7fa8eeeb-b66e-46cc-903d-f742a2813e3f,14281421,3035781,POE CHU KOK,POE CHU KOK,Poe Chu Kok,Poe Chu Kok,DIR
17785175,3cee26f2-ee6d-4cd0-8c30-8c9ab624732b,13933980,1085403,ABDUL MAJID KHAN,ABDUL MAJID KHAN,Abdul Majid Khan,Abdul Majid Khan,DIR
11022916,5dec396b-e520-4d88-a5b6-36d44bd63ce6,14281423,3035783,CHAN SENG FONG,CHAN SENG FONG,Chan Seng Fong,Chan Seng Fong,DIR
11136625,d252a609-5641-447e-b82c-ac0ed23274e8,13875122,444537,ABDUL RAHIM HASHIM,ABDUL RAHIM HASHIM,Abdul Rahim Hashim,Abdul Rahim Hashim,DIR
15048605,16e1dd81-cbc8-4258-beaa-fce2864188d3,18196471,12206936,BEE HOON OOI,BEE HOON OOI,Bee Hoon Ooi,Ooi Bee Hoon,DIR
12459463,5eac7126-c170-414a-be8a-06ad03ea80ef,18163094,12173554,ENG CHAI LIM,ENG CHAI LIM,Eng Chai Lim,Lim Eng Chai,DIR
12494922,4069350c-26fa-4005-add7-c4b209334e29,18224745,12235608,KIEN HOE KHOO,KIEN HOE KHOO,Kien Hoe Khoo,Khoo Kien Hoe,DIR
12459461,964cf790-2ce6-4c00-b81b-59a0de74e8da,18517238,12716828,CHOON HAU HONG,CHOON HAU HONG,Choon Hau Hong,Choon Hau Hong,DIR
11028426,49712e3d-6e28-4191-8af4-0fede09a3b2f,14284935,3040292,"YONG CHIANG, FREDERICK NG","YONG CHIANG, FREDERICK NG","Yong Chiang, Frederick Ng","Yong Chiang, Frederick Ng",DIR
11028423,cdfed918-1f9d-4c6c-bcc4-083b87c5fba3,14284926,3040288,YOK CHEE NA,YOK CHEE NA,Yok Chee Na,Yok Chee Na,DIR
11028425,fe3b816c-fad8-4c17-9e2b-b4c411853826,14284933,3040291,KEEN SHIAN CHOONG,KEEN SHIAN CHOONG,Keen Shian Choong,Keen Shian Choong,DIR
10517894,b462f22e-0e43-4f56-9ee2-08512c9f8e00,13918025,1046307,NIK ABD AZIZ B MOHD KAMALUDIN,NIK ABD AZIZ B MOHD KAMALUDIN,Nik Abd Aziz B Mohd Kamaludin,Nik Abd Aziz B Mohd Kamaludin,DIR
11028424,e3b9b10d-fb1a-438d-a6f5-b55f016ccc42,14284931,3040290,WEE CHING LOH,WEE CHING LOH,Wee Ching Loh,Wee Ching Loh,DIR
10517897,42b41b5c-6c54-4a55-99a3-4f7a9f971343,13918029,1046315,HAJI HANAFI B RAMLI,HAJI HANAFI B RAMLI,Haji Hanafi B Ramli,Haji Hanafi B Ramli,DIR
11131260,34f3c416-5fcc-4144-8993-e158cd052e28,13883296,463097,LOW @ KIM TOON KOH,LOW @ KIM TOON KOH,Low @ Kim Toon Koh,Low @ Kim Toon Koh,DIR
15975561,573bc6e3-00d8-44bc-aa31-f772f124251e,19884767,14178139,HASLINDA BT HUSSEIN,HASLINDA BT HUSSEIN,Haslinda Bt Hussein,Haslinda Bt Hussein,DIR
11131263,a34b1a98-4635-49bc-a33e-d5bd4053dfe2,13885623,468723,"TUANG NGUANG, FRANCIS LAU","TUANG NGUANG, FRANCIS LAU","Tuang Nguang, Francis Lau","Tuang Nguang, Francis Lau",DIR
10514811,147a7983-6ebf-4e51-a434-7575561cd998,13916652,1043517,AINON MARZIAH BT WAHI,AINON MARZIAH BT WAHI,Ainon Marziah Bt Wahi,Ainon Marziah Bt Wahi,DIR
11028422,efbe5d57-1bc4-435b-b95f-d2fb8c54f987,14284924,3040285,JOO HAN LAU,JOO HAN LAU,Joo Han Lau,Joo Han Lau,DIR
17791249,ab3a15b0-b216-48a3-bb1e-a3dca8652366,15721261,4501361,EFFIZAL FAIZ BIN ZULKIFLY,EFFIZAL FAIZ BIN ZULKIFLY,Effizal Faiz Bin Zulkifly,Effizal Faiz Bin Zulkifly,DIR
15784811,ab72f9f5-bc4a-4a03-a549-05a2233a7546,18365499,12376076,"NOORAZMAN BIN LOUISIANA STATE UNIVERSITY, USA","NOORAZMAN BIN LOUISIANA STATE UNIVERSITY, USA","Noorazman Bin Louisiana State University, Usa","Noorazman Bin Louisiana State University, Usa",DIR
13476226,86f016b9-9399-4ea3-80fd-907c83fdc181,18376261,12386754,ZAIDA KHALIDA BINTI SHAARI,ZAIDA KHALIDA BINTI SHAARI,Zaida Khalida Binti Shaari,Zaida Khalida Binti Shaari,DIR
14065596,0af817be-1b74-418a-909e-a8e17f039852,18041699,12048881,SRIKANDAN KANAGAINTHIRAM,SRIKANDAN KANAGAINTHIRAM,Srikandan Kanagainthiram,Srikandan Kanagainthiram,DIR
